accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
0.7971428632736206,0.4434015154838562,0.7048402428627014,0.5013723969459534,0.7685834765434265,0.8730291128158569,0.8059999942779541,0.4247337579727173,0.7210947871208191,0.515625,0.757377028465271,0.8658852577209473,0.0002500000118743628
0.7927142977714539,0.4504775106906891,0.6948947906494141,0.4943617582321167,0.7685834765434265,0.8688186407089233,0.8086666464805603,0.4234329164028168,0.721493124961853,0.5203620195388794,0.7540983557701111,0.8658221364021301,0.0002500000118743628
0.7940000295639038,0.4452632665634155,0.7017561793327332,0.4963735342025757,0.7678821682929993,0.8721079230308533,0.8040000200271606,0.42674970626831055,0.7208724021911621,0.5121951103210449,0.757377028465271,0.8656876683235168,0.0002500000118743628
0.7938571572303772,0.4434245228767395,0.7027642130851746,0.4961659908294678,0.7713884711265564,0.8733510971069336,0.8080000281333923,0.42393335700035095,0.7206941843032837,0.519187331199646,0.7540983557701111,0.8654818534851074,0.0002500000118743628
0.7938571572303772,0.4451952278614044,0.7011157274246216,0.49614161252975464,0.7664796710014343,0.8719277381896973,0.8086666464805603,0.4225690960884094,0.7207531929016113,0.5203620195388794,0.7540983557701111,0.8656561374664307,0.0002500000118743628
0.7992857098579407,0.44272923469543457,0.7042109966278076,0.5048543810844421,0.7657784223556519,0.8736406564712524,0.8086666464805603,0.42314204573631287,0.7210515737533569,0.5203620195388794,0.7540983557701111,0.8657795190811157,0.0001250000059371814
0.7964285612106323,0.44491687417030334,0.6985127925872803,0.5002294778823853,0.7643758654594421,0.8724843263626099,0.8059999942779541,0.4255999028682709,0.7209616303443909,0.5156950950622559,0.7540983557701111,0.8656643629074097,0.0001250000059371814
0.7965714335441589,0.4426161050796509,0.7034820318222046,0.5004532933235168,0.774193525314331,0.8736968636512756,0.8066666722297668,0.42512089014053345,0.7211034297943115,0.516853928565979,0.7540983557701111,0.8656519651412964,0.0001250000059371814
0.7984285950660706,0.4462757110595703,0.7013413906097412,0.5034610033035278,0.7650771141052246,0.871950626373291,0.8066666722297668,0.42648035287857056,0.7205174565315247,0.516853928565979,0.7540983557701111,0.8654900789260864,0.0001250000059371814
0.795714259147644,0.4443071186542511,0.7037022113800049,0.49908843636512756,0.7678821682929993,0.8723081350326538,0.8066666722297668,0.4251199960708618,0.7175161838531494,0.516853928565979,0.7540983557701111,0.8656807541847229,0.0001250000059371814
0.7929999828338623,0.4488864541053772,0.693371057510376,0.4947560429573059,0.760869562625885,0.8692861795425415,0.8059999942779541,0.42711958289146423,0.7172154784202576,0.5156950950622559,0.7540983557701111,0.8655765056610107,0.0001250000059371814
0.7968571186065674,0.44339704513549805,0.7047289609909058,0.5009124279022217,0.7699859738349915,0.8733057975769043,0.8066666722297668,0.42611798644065857,0.7171881198883057,0.516853928565979,0.7540983557701111,0.8655737638473511,6.25000029685907e-05
0.7992857098579407,0.4437900185585022,0.7014175653457642,0.5048143267631531,0.7720897793769836,0.8731762766838074,0.8066666722297668,0.42559710144996643,0.7170223593711853,0.516853928565979,0.7540983557701111,0.865446150302887,6.25000029685907e-05
0.798714280128479,0.44115471839904785,0.7048590183258057,0.5038724541664124,0.7755960822105408,0.8752644658088684,0.8073333501815796,0.4246949553489685,0.7170281410217285,0.5180180072784424,0.7540983557701111,0.8655805587768555,6.25000029685907e-05
0.8014285564422607,0.4440673589706421,0.7051557302474976,0.5082720518112183,0.7755960822105408,0.8728629350662231,0.8073333501815796,0.4258897602558136,0.7169243693351746,0.5180180072784424,0.7540983557701111,0.865605354309082,6.25000029685907e-05
