threshold,accuracy,precision,recall,f1
0.81,0.64775,0.7142857142857143,0.06807351940095303,0.12430080795525171
0.82,0.64725,0.7377049180327869,0.06126616746085772,0.11313639220615965
0.83,0.64575,0.7653061224489796,0.05105513955071477,0.09572431397574985
0.84,0.646,0.8192771084337349,0.04628999319264806,0.08762886597938144
0.85,0.645,0.8656716417910447,0.039482641252552755,0.07552083333333333
0.86,0.64275,0.8703703703703703,0.031994554118447927,0.061720288903479976
0.87,0.64125,0.8863636363636364,0.02654867256637168,0.051553205551883675
0.88,0.63925,0.8823529411764706,0.02042205582028591,0.03992015968063872
0.89,0.6375,0.9130434782608695,0.014295439074200136,0.028150134048257374
0.9,0.63575,0.875,0.009530292716133424,0.018855218855218854
