threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,actual_fraud,predicted_fraud,test_rows
0.56,0.9993914142596321,0.9,0.7297297297297297,0.8059701492537313,0.974227111185468,0.7779638015415702,42642,6,20,54,74,60,42722
0.5700000000000001,0.9993680071157718,0.8983050847457628,0.7162162162162162,0.7969924812030075,0.974227111185468,0.7779638015415702,42642,6,21,53,74,59,42722
0.5800000000000001,0.9993445999719114,0.896551724137931,0.7027027027027027,0.7878787878787878,0.974227111185468,0.7779638015415702,42642,6,22,52,74,58,42722
0.59,0.9993445999719114,0.896551724137931,0.7027027027027027,0.7878787878787878,0.974227111185468,0.7779638015415702,42642,6,22,52,74,58,42722
0.590212345123291,0.9993445999719114,0.896551724137931,0.7027027027027027,0.7878787878787878,0.974227111185468,0.7779638015415702,42642,6,22,52,74,58,42722
0.6,0.9992977856841908,0.8928571428571429,0.6756756756756757,0.7692307692307693,0.974227111185468,0.7779638015415702,42642,6,24,50,74,56,42722
0.61,0.9992977856841908,0.9074074074074074,0.6621621621621622,0.765625,0.974227111185468,0.7779638015415702,42643,5,25,49,74,54,42722
0.62,0.9993211928280511,0.9245283018867925,0.6621621621621622,0.7716535433070866,0.974227111185468,0.7779638015415702,42644,4,25,49,74,53,42722
0.63,0.9993211928280511,0.9245283018867925,0.6621621621621622,0.7716535433070866,0.974227111185468,0.7779638015415702,42644,4,25,49,74,53,42722
0.64,0.9993211928280511,0.9245283018867925,0.6621621621621622,0.7716535433070866,0.974227111185468,0.7779638015415702,42644,4,25,49,74,53,42722
0.65,0.9992743785403305,0.9215686274509803,0.6351351351351351,0.752,0.974227111185468,0.7779638015415702,42644,4,27,47,74,51,42722
0.66,0.9991807499648893,0.9148936170212766,0.581081081081081,0.7107438016528925,0.974227111185468,0.7779638015415702,42644,4,31,43,74,47,42722
0.67,0.999157342821029,0.9130434782608695,0.5675675675675675,0.7,0.974227111185468,0.7779638015415702,42644,4,32,42,74,46,42722
